CH_1_us,CH_1_v
0.000000,0.120000
20000.000000,0.120000
40000.000000,0.120000
60000.002048,0.120000
80000.000000,0.120000
99999.997952,0.120000
120000.004096,0.120000
140000.002048,0.120000
160000.000000,0.120000
179999.997952,0.120000
199999.995904,0.160000
219999.993856,0.160000
240000.008192,0.120000
260000.006144,0.200000
280000.004096,0.160000
299999.985664,0.160000
320000.000000,0.160000
340000.014336,0.200000
359999.995904,0.200000
380000.010240,0.120000
399999.991808,0.200000
420000.006144,0.200000
439999.987712,0.160000
460000.002048,0.120000
480000.016384,0.160000
499999.997952,0.200000
520000.012288,0.120000
539999.993856,0.080000
560000.008192,0.120000
580000.022528,0.160000
599999.971328,0.160000
619999.985664,0.160000
640000.000000,0.120000
660000.014336,0.160000
680000.028672,0.120000
699999.977472,0.200000
719999.991808,0.120000
740000.006144,0.160000
760000.020480,0.160000
779999.969280,0.200000
799999.983616,0.160000
819999.997952,0.160000
840000.012288,0.160000
860000.026624,0.160000
879999.975424,0.080000
899999.989760,0.160000
920000.004096,0.200000
940000.018432,0.160000
960000.032768,0.160000
979999.981568,0.160000
999999.995904,0.000000
1020000.010240,0.120000
1040000.024576,0.120000
1059999.973376,0.160000
1079999.987712,0.320000
1100000.002048,0.120000
1120000.016384,0.080000
1140000.030720,0.160000
1160000.045056,0.080000
1180000.059392,0.160000
1199999.942656,0.120000
1219999.956992,0.160000
1239999.971328,0.200000
1259999.985664,0.120000
1280000.000000,0.120000
1300000.014336,0.080000
1320000.028672,0.120000
1340000.043008,0.160000
1360000.057344,0.200000
1379999.940608,0.080000
1399999.954944,0.160000
1419999.969280,0.120000
1439999.983616,0.160000
1459999.997952,0.160000
1480000.012288,0.120000
1500000.026624,0.160000
1520000.040960,0.200000
1540000.055296,0.160000
1559999.938560,0.160000
1579999.952896,0.120000
1599999.967232,0.160000
1619999.981568,0.200000
1639999.995904,0.160000
1660000.010240,0.160000
1680000.024576,0.160000
1700000.038912,0.160000
1720000.053248,0.160000
1739999.936512,0.200000
1759999.950848,0.160000
1779999.965184,0.160000
1799999.979520,0.120000
1819999.993856,0.200000
1840000.008192,0.160000
1860000.022528,0.160000
1880000.036864,0.160000
1900000.051200,0.160000
1920000.065536,0.080000
1939999.948800,0.200000
1959999.963136,0.160000
1979999.977472,0.160000
1999999.991808,0.160000
2020000.006144,0.160000
2040000.020480,0.160000
2060000.034816,0.160000
2080000.049152,0.200000
2100000.063488,0.120000
2119999.946752,0.160000
2139999.961088,0.120000
2159999.975424,0.200000
2179999.989760,0.120000
2200000.004096,0.160000
2220000.018432,0.120000
2240000.032768,0.240000
2260000.047104,0.120000
2280000.061440,0.120000
2300000.075776,0.160000
2320000.090112,0.200000
2340000.104448,0.160000
2360000.118784,0.160000
2379999.870976,0.160000
2399999.885312,0.200000
2419999.899648,0.200000
2439999.913984,0.120000
2459999.928320,0.160000
2479999.942656,0.160000
2499999.956992,0.280000
2519999.971328,0.160000
2539999.985664,0.080000
2560000.000000,0.160000
2580000.014336,0.520000
2600000.028672,0.160000
2620000.043008,0.120000
2640000.057344,0.160000
2660000.071680,0.160000
2680000.086016,0.160000
2700000.100352,0.160000
2720000.114688,0.080000
2740000.129024,0.160000
2759999.881216,0.120000
2779999.895552,0.160000
2799999.909888,0.200000
2819999.924224,0.160000
2839999.938560,0.120000
2859999.952896,0.240000
2879999.967232,0.200000
2899999.981568,0.120000
2919999.995904,0.160000
2940000.010240,0.160000
2960000.024576,0.080000
2980000.038912,0.160000
3000000.053248,0.200000
3020000.067584,0.160000
3040000.081920,0.120000
3060000.096256,0.160000
3080000.110592,0.160000
3100000.124928,0.160000
3119999.877120,0.160000
3139999.891456,0.120000
3159999.905792,0.120000
3179999.920128,0.120000
3199999.934464,0.160000
3219999.948800,0.200000
3239999.963136,0.160000
3259999.977472,0.120000
3279999.991808,0.120000
3300000.006144,0.120000
3320000.020480,0.160000
3340000.034816,0.160000
3360000.049152,0.120000
3380000.063488,0.120000
3400000.077824,0.160000
3420000.092160,0.120000
3440000.106496,0.080000
3460000.120832,0.120000
3479999.873024,0.120000
3499999.887360,0.160000
3519999.901696,0.160000
3539999.916032,0.200000
3559999.930368,0.120000
3579999.944704,0.160000
3599999.959040,0.200000
3619999.973376,0.120000
3639999.987712,0.120000
3660000.002048,0.120000
3680000.016384,0.160000
3700000.030720,0.200000
3720000.045056,0.160000
3740000.059392,0.160000
3760000.073728,0.160000
3780000.088064,0.120000
3800000.102400,0.120000
3820000.116736,0.160000
3840000.131072,0.080000
3859999.883264,0.120000
3879999.897600,0.400000
3899999.911936,0.120000
3919999.926272,0.120000
3939999.940608,0.160000
3959999.954944,0.120000
3979999.969280,0.160000
3999999.983616,0.160000
4019999.997952,0.120000
4040000.012288,0.160000
4060000.026624,0.080000
4080000.040960,0.160000
4100000.055296,0.160000
4120000.069632,0.160000
4140000.083968,0.200000
4160000.098304,0.160000
4180000.112640,0.120000
4200000.126976,0.120000
4219999.879168,0.160000
4239999.893504,0.120000
4259999.907840,0.120000
4279999.922176,0.160000
4299999.936512,0.160000
4319999.950848,0.120000
4339999.965184,0.160000
4359999.979520,0.160000
4379999.993856,0.160000
4400000.008192,0.160000
4420000.022528,0.160000
4440000.036864,0.160000
4460000.051200,0.160000
4480000.065536,0.160000
4500000.079872,0.120000
4520000.094208,0.160000
4540000.108544,0.160000
4560000.122880,0.160000
4580000.137216,0.120000
4600000.151552,0.120000
4620000.165888,0.120000
4640000.180224,0.160000
4660000.194560,0.120000
4680000.208896,0.160000
4700000.223232,0.160000
4720000.237568,0.160000
4740000.251904,0.120000
4759999.741952,0.160000
4779999.756288,0.160000
4799999.770624,0.200000
4819999.784960,0.200000
4839999.799296,0.120000
4859999.813632,-0.080000
4879999.827968,0.120000
4899999.842304,0.120000
4919999.856640,0.080000
4939999.870976,0.160000
4959999.885312,0.120000
4979999.899648,0.160000
4999999.913984,0.240000
5019999.928320,0.160000
5039999.942656,0.200000
5059999.956992,0.160000
5079999.971328,0.160000
5099999.985664,0.000000
5120000.000000,0.120000
5140000.014336,0.160000
5160000.028672,0.120000
5180000.043008,0.200000
5200000.057344,0.160000
5220000.071680,0.160000
5240000.086016,0.160000
5260000.100352,0.120000
5280000.114688,0.200000
5300000.129024,0.080000
5320000.143360,0.160000
5340000.157696,0.120000
5360000.172032,0.120000
5380000.186368,0.160000
5400000.200704,0.160000
5420000.215040,0.160000
5440000.229376,0.120000
5460000.243712,0.200000
5480000.258048,0.160000
5499999.748096,0.080000
5519999.762432,0.120000
5539999.776768,0.120000
5559999.791104,0.240000
5579999.805440,0.120000
5599999.819776,0.120000
5619999.834112,0.160000
5639999.848448,0.160000
5659999.862784,0.120000
5679999.877120,0.160000
5699999.891456,0.160000
5719999.905792,0.120000
5739999.920128,0.120000
5759999.934464,0.160000
5779999.948800,0.120000
5799999.963136,0.160000
5819999.977472,0.120000
5839999.991808,0.200000
5860000.006144,-4.920000
5880000.020480,-4.920000
5900000.034816,-4.920000
5920000.049152,-4.920000
5940000.063488,-4.880000
5960000.077824,-4.840000
5980000.092160,-4.840000
6000000.106496,-4.800000
6020000.120832,-4.880000
6040000.135168,-4.880000
6060000.149504,-4.760000
6080000.163840,-4.880000
6100000.178176,-4.840000
6120000.192512,-4.880000
6140000.206848,-4.880000
6160000.221184,-4.840000
6180000.235520,-4.840000
6200000.249856,-4.880000
6219999.739904,-4.840000
6239999.754240,-4.840000
6259999.768576,-4.880000
6279999.782912,-4.840000
6299999.797248,-4.840000
6319999.811584,-4.840000
6339999.825920,-4.880000
6359999.840256,-4.840000
6379999.854592,-4.840000
6399999.868928,-4.840000
6419999.883264,-4.840000
6439999.897600,-4.800000
6459999.911936,-4.880000
6479999.926272,-4.840000
6499999.940608,-4.840000
6519999.954944,-4.840000
6539999.969280,-4.800000
6559999.983616,-4.800000
6579999.997952,-4.880000
6600000.012288,-4.840000
6620000.026624,-4.840000
6640000.040960,-4.880000
6660000.055296,-4.880000
6680000.069632,-4.800000
6700000.083968,-4.880000
6720000.098304,-4.840000
6740000.112640,-4.840000
6760000.126976,-4.800000
6780000.141312,-4.800000
6800000.155648,-4.800000
6820000.169984,-4.840000
6840000.184320,-4.840000
6860000.198656,-4.480000
6880000.212992,-4.840000
6900000.227328,-4.800000
6920000.241664,-4.800000
6940000.256000,-4.840000
6959999.746048,-4.840000
6979999.760384,-4.880000
6999999.774720,-4.840000
7019999.789056,-4.840000
7039999.803392,-4.840000
7059999.817728,-4.840000
7079999.832064,-4.800000
7099999.846400,-4.840000
7119999.860736,-4.800000
7139999.875072,-4.800000
7159999.889408,-4.840000
7179999.903744,-4.840000
7199999.918080,-4.880000
7219999.932416,-4.800000
7239999.946752,-4.880000
7259999.961088,-4.840000
7279999.975424,-4.920000
7299999.989760,-4.840000
7320000.004096,-4.840000
7340000.018432,-4.800000
7360000.032768,-4.840000
7380000.047104,-4.720000
7400000.061440,-4.840000
7420000.075776,-4.840000
7440000.090112,-4.760000
7460000.104448,-4.840000
7480000.118784,-4.840000
7500000.133120,-4.880000
7520000.147456,-4.840000
7540000.161792,-4.800000
7560000.176128,-4.880000
7580000.190464,-4.760000
7600000.204800,-4.840000
7620000.219136,-4.880000
7640000.233472,-4.800000
